tender_id,department,estimated_cost,participating_bidders,bid_amounts,winning_bidder,winning_bid,tender_date,location
T00063,Housing,23470,"Tech Projects LTD,Global Infrastructure Corp,Elite Infrastructure Corp","31696,23820,32506",Global Infrastructure Corp,23820.39069931416,2024-08-20 13:17:22.872395,West
T00064,Transport,63083,"Elite Infrastructure Corp,Global Engineering Inc,Prime Constructions LTD,Best Projects Corp,Global Infrastructure Inc,United Constructions Inc,Crown Engineering Ltd","44870,62386,68119,62671,41719,61968,48596",Global Infrastructure Inc,41719.260289225334,2025-04-11 13:17:22.872395,Central
T00065,Education,1365282,"Tech Services LTD,United Constructions Inc,Global Services Ltd,Global Projects PVT LTD","1263945,1344969,1346271,1345557",Tech Services LTD,1263945.232897923,2024-04-24 13:17:22.872395,West
T00066,Education,95844,"United Projects PVT LTD,Prime Solutions Ltd,Global Engineering Inc,Crown Projects Corp,Elite Infrastructure Corp,Global Infrastructure Corp,Best Services Ltd,Royal Services Inc","105663,144566,89913,87652,87146,81420,85705,71945",Royal Services Inc,74887.7690009596,2025-03-27 13:17:22.872395,Northwest
T00067,Water Supply,375143,"Prime Constructions LTD,Royal Solutions Inc,Elite Infrastructure Corp,Best Projects Inc,Elite Solutions PVT LTD,Prime Engineering PVT LTD,Tech Projects LTD,United Solutions PVT LTD","367571,378317,415808,477342,444779,331369,323767,421242",Tech Projects LTD,323767.2366334429,2024-10-19 13:17:22.872395,North
T00068,Health,220013,"Best Projects Ltd,Global Projects Ltd,Tech Services LTD,United Constructions Inc,Prime Solutions Ltd,Global Infrastructure PVT LTD,Crown Solutions LTD","172100,194101,141919,260855,180566,221275,267043",Tech Services LTD,141919.5892423883,2024-11-03 13:17:22.872395,West
T00069,Transport,116303,"Best Projects Ltd,Crown Solutions LTD,Prime Projects Inc,Elite Infrastructure PVT LTD,Global Services Inc,Elite Infrastructure Corp,Prime Engineering PVT LTD","118166,98898,97056,112035,115196,94061,102035",Elite Infrastructure Corp,94061.26525119503,2025-11-14 13:17:22.872395,Northeast
T00070,Water Supply,156768,"Crown Solutions Corp,Elite Solutions PVT LTD,Elite Services Inc,Global Services Inc,Prime Engineering PVT LTD","146146,193607,178661,131627,156664",Global Services Inc,131627.00217692397,2025-10-14 13:17:22.872395,West
T00071,Health,17607886,"Prime Projects Inc,Best Projects PVT LTD,Global Engineering Corp,Best Projects Ltd,Global Projects Ltd,Royal Solutions Inc,Royal Services Inc","21568920,16292958,15404604,23277640,13550412,12008219,21255247",Royal Solutions Inc,12008219.261939945,2025-12-06 13:17:22.872395,North
T00072,Energy,521205,"Elite Services Inc,Crown Services Corp,Prime Constructions LTD,Global Projects PVT LTD","534652,475573,459870,482876",Prime Constructions LTD,459870.46518358425,2025-08-31 13:17:22.872395,Northeast
T00073,Housing,268924,"Prime Engineering Inc,Elite Infrastructure PVT LTD,Best Projects Corp,Global Infrastructure PVT LTD,United Projects Corp,United Constructions Inc,United Solutions PVT LTD,Prime Engineering PVT LTD","163020,308387,290754,264395,281996,284048,232671,241752",Prime Engineering Inc,163020.65449458416,2024-03-16 13:17:22.872395,West
T00074,Water Supply,1104428,"Best Services Inc,Tech Projects LTD,Global Infrastructure Corp,Crown Projects Corp,United Constructions Inc,Best Projects Corp,Global Services Inc","1151226,1330999,948361,986507,903859,1167983,638353",Global Services Inc,638353.2822185295,2024-08-31 13:17:22.872395,Central
T00075,Education,251307,"Global Engineering Inc,Best Services Inc,Royal Infrastructure LTD","236354,200105,265130",Best Services Inc,200105.9454609537,2024-12-03 13:17:22.872395,Northwest
T00076,Housing,32541589,"Tech Projects LTD,Tech Solutions PVT LTD,Crown Engineering Inc,Global Projects PVT LTD,Elite Infrastructure Corp,Prime Engineering Inc","31478157,32065719,31973250,33179352,32310353,32944941",Tech Projects LTD,31478157.715325646,2024-11-08 13:17:22.872395,West
T00077,Health,44616,"Royal Services Inc,Prime Solutions Ltd,Global Projects PVT LTD","49603,59525,27214",Global Projects PVT LTD,56606.42201286988,2025-01-30 13:17:22.872395,West
T00078,Transport,151300,"Tech Infrastructure LTD,Crown Constructions Ltd,Global Solutions PVT LTD,Elite Solutions PVT LTD","162958,134084,153943,146661",Crown Constructions Ltd,134084.14940007022,2024-12-15 13:17:22.872395,Northeast
T00079,Health,2882119,"Prime Engineering Inc,Tech Infrastructure LTD,Best Projects Inc,Prime Engineering PVT LTD,Crown Projects Corp","3052318,2847721,2843343,2843413,2918384",Best Projects Inc,2843343.656095846,2024-05-30 13:17:22.872395,Northeast
T00080,Water Supply,732335,"Elite Infrastructure Corp,Global Engineering Inc,Global Constructions Inc,Global Solutions Corp,Global Constructions LTD","871715,686106,931206,674939,487170",Global Constructions LTD,487170.0069976672,2025-12-25 13:17:22.872395,West
T00081,Health,110220,"Global Services Inc,Global Infrastructure PVT LTD,Crown Projects Corp,Tech Infrastructure LTD,Global Solutions PVT LTD,Royal Services Inc,Best Projects Corp","110626,154125,117667,105494,130107,70827,115538",Royal Services Inc,70827.7807104445,2026-02-10 13:17:22.872395,East
T00082,Education,1589072,"United Constructions Inc,Best Services Inc,Prime Projects Inc,Prime Solutions Ltd,Global Solutions Corp,Best Projects Ltd,Elite Solutions PVT LTD","1728856,1597189,1578578,1566143,1607761,1596704,1591198",Prime Solutions Ltd,1566143.0940420541,2025-09-18 13:17:22.872395,East
T00083,PWD,656818,"Prime Engineering PVT LTD,Crown Engineering Ltd,Elite Solutions PVT LTD,Tech Services LTD,Crown Projects Corp,Best Services Inc","632085,650210,663227,644562,658654,663713",Prime Engineering PVT LTD,632085.1330250673,2025-01-21 13:17:22.872395,Northeast
T00084,Housing,725556,"Global Constructions Inc,Elite Infrastructure PVT LTD,Elite Solutions PVT LTD,Elite Services Ltd,Global Solutions Corp,Global Infrastructure PVT LTD","938547,663819,666111,649633,879812,881521",Elite Services Ltd,649633.9840468307,2025-10-28 13:17:22.872395,Central
T00085,Education,3997654,"Global Infrastructure Corp,Global Infrastructure Inc,Best Services Inc,Royal Solutions Inc,Best Services Ltd,Tech Infrastructure LTD,Global Constructions Inc","4891154,3235005,3607896,4136402,4724778,3345241,2511207",Global Constructions Inc,2511207.609513555,2024-09-03 13:17:22.872395,North
T00086,Health,655503,"Prime Engineering Inc,Elite Infrastructure PVT LTD,Crown Constructions Ltd,Global Projects Ltd,Global Constructions Inc,Crown Projects Corp,Prime Constructions LTD,Royal Infrastructure LTD","685771,680781,682569,685640,682713,675171,680933,681346",Crown Projects Corp,675171.0887253709,2026-02-16 13:17:22.872395,Northeast
T00087,Health,26369556,"Crown Projects Corp,Best Projects Ltd,Elite Services Inc,Global Constructions LTD","21634498,25714441,26665088,32820340",Crown Projects Corp,21634498.618573647,2025-02-15 13:17:22.872395,North
T00088,PWD,39484,"Best Projects PVT LTD,Best Services Ltd,United Solutions PVT LTD,Prime Engineering PVT LTD,Global Projects Ltd,Prime Projects Inc,Global Engineering Inc","38182,39962,38701,39221,39323,39543,40147",Best Projects PVT LTD,38182.58557782935,2025-07-20 13:17:22.872395,Central
T00089,PWD,4958872,"United Projects PVT LTD,Global Engineering Corp,Crown Solutions Corp,Tech Projects LTD,Global Solutions Corp,Global Solutions PVT LTD,Crown Engineering Inc,Royal Infrastructure LTD","4636785,6923923,4707985,3671314,4721042,4695636,2891573,4905315",Crown Engineering Inc,2891573.9317246317,2024-11-13 13:17:22.872395,Central
T00090,Education,353614,"Best Projects Corp,Prime Projects Inc,Global Projects Ltd,Tech Projects LTD,Best Services Ltd,Best Projects PVT LTD","406444,335099,283411,591627,357826,354600",Global Projects Ltd,283411.7368955267,2025-05-31 13:17:22.872395,Northwest
T00091,Housing,482229,"Tech Services LTD,Prime Solutions Ltd,Tech Solutions PVT LTD,Global Engineering Inc,Crown Solutions LTD,Best Projects Inc,Crown Engineering Ltd","482229,482229,482229,482229,482229",Crown Solutions LTD,418154.06803221715,2024-06-13 13:17:22.872395,South
T00092,PWD,4772366,"United Projects PVT LTD,Royal Infrastructure LTD","6123043,3152400",Royal Infrastructure LTD,3152400.2670621844,2025-09-20 13:17:22.872395,South
T00093,Transport,299039,"Royal Solutions Inc,Global Solutions Corp,Global Constructions Inc,Crown Solutions Corp","277629,225669,255957,239477",Global Solutions Corp,225669.52734371476,2026-02-07 13:17:22.872395,West
T00094,Water Supply,6925834,"Elite Services Inc,Best Projects PVT LTD,Global Solutions Corp,Prime Solutions Ltd,United Projects Corp","6449547,6985665,6969861,6794823,6848811",Elite Services Inc,6449547.993605414,2024-12-18 13:17:22.872395,Northwest
T00095,Water Supply,1476037,"Best Projects Corp,Best Projects Ltd,Global Infrastructure Corp","1359166,1493744,1457057",Best Projects PVT LTD,1359166.923805353,2025-10-28 13:17:22.872395,Northwest
T00096,Water Supply,91930,"United Solutions PVT LTD,Elite Services Inc,Best Services Ltd,Crown Solutions LTD","87615,85290,105976,100472",Elite Services Inc,85290.51532669856,2024-10-20 13:17:22.872395,South
T00097,Transport,290952,"Global Projects Ltd,Global Constructions Inc,Royal Infrastructure LTD,Best Projects Ltd,United Constructions Inc,Prime Projects Inc,Global Constructions LTD,Best Services Inc","366876,327595,273485,310562,226543,350010,280388,262070",United Constructions Inc,226543.18518901043,2025-01-12 13:17:22.872395,Northeast
T00098,Transport,2411783,"Global Engineering Inc,Global Engineering Corp,Royal Solutions Inc,Best Projects Corp,Global Services Ltd","1766571,2722548,1866902,3425766,1590391",Global Services Ltd,1590391.8404550594,2025-07-29 13:17:22.872395,West
T00099,Education,6369604,"Global Solutions Corp,Best Projects PVT LTD","5711910,6898917",Global Solutions Corp,5711910.087244953,2025-11-12 13:17:22.872395,North
T00100,Transport,472555,"Best Projects PVT LTD,Best Services Inc,Global Projects Ltd,Royal Solutions Inc,Crown Engineering Ltd,Crown Projects Corp,Global Solutions PVT LTD,Royal Infrastructure LTD","589228,439409,467203,502559,335667,360869,548291,488982",Crown Engineering Ltd,335667.29090460733,2025-10-14 13:17:22.872395,North
T00101,Health,379415,"United Projects Corp,Prime Engineering Inc,Global Engineering Inc,Crown Projects Corp,Royal Services Inc","340589,324722,394571,311985,411694",Crown Projects Corp,311985.28938972973,2024-12-13 13:17:22.872395,Central
T00102,Education,38889,"Elite Infrastructure PVT LTD,Crown Solutions LTD,Global Projects PVT LTD,United Projects PVT LTD,Prime Engineering Inc,Global Constructions Inc,Global Constructions LTD","40932,47334,54261,47635,26911,30108,34320",Prime Engineering Inc,26911.039372560124,2025-04-26 13:17:22.872395,East
T00103,PWD,519956,"Global Services Ltd,Prime Solutions Ltd","544709,511278",Prime Solutions Ltd,511278.9465671871,2025-09-18 13:17:22.872395,West
T00104,PWD,58152,"Crown Services Corp,Crown Constructions Ltd,Tech Solutions PVT LTD,Global Infrastructure Corp,United Constructions Inc","65317,76044,48730,65225,40949",Best Projects PVT LTD,40949.74276525511,2025-01-29 13:17:22.872395,Northwest
T00105,PWD,11345541,"Global Infrastructure PVT LTD,Tech Projects LTD,Prime Engineering Inc,United Projects Corp,Royal Infrastructure LTD,Best Services Ltd","10675101,12811435,8372803,11333438,9945011,8092302",Best Services Ltd,8092302.9602714935,2025-05-01 13:17:22.872395,South
T00106,Education,2197974,"Global Constructions Inc,Royal Infrastructure LTD,Prime Engineering PVT LTD","2278472,2055595,3262655",Royal Infrastructure LTD,2055595.4702127024,2024-09-28 13:17:22.872395,Central
T00107,PWD,465778,"Global Engineering Corp,Best Projects Inc,Crown Solutions LTD,Prime Projects Inc,Tech Infrastructure LTD,Crown Constructions Ltd,Tech Solutions PVT LTD","514737,518131,374710,560935,327384,585540,357751",Tech Infrastructure LTD,327384.63713265496,2025-07-13 13:17:22.872395,North
T00108,PWD,356110,"Best Projects Ltd,United Constructions Inc,Elite Services Ltd,Prime Constructions LTD,United Solutions PVT LTD,Prime Engineering Inc,Global Constructions Inc,Crown Services Corp","419296,403014,460583,440399,325216,404166,262415,352009",Global Constructions Inc,262415.5456870713,2025-04-25 13:17:22.872395,South
T00109,Education,1706731,"Crown Projects Corp,Elite Services Ltd,Best Projects Inc,United Constructions Inc,Tech Infrastructure LTD,United Solutions PVT LTD,Crown Engineering Inc,Elite Solutions PVT LTD","1774119,1692896,1735704,1738889,1737060,1704970,1731447,1730253",Elite Services Ltd,1692896.1707480785,2026-02-24 13:17:22.872395,West
T00110,Transport,611172,"Elite Services Inc,Best Services Inc,United Projects PVT LTD","623034,557199,560303",Best Services Inc,557199.5128056773,2025-11-07 13:17:22.872395,Northeast
T00111,Housing,314457,"Crown Constructions Ltd,Global Constructions Inc,Elite Services Ltd,Prime Projects Inc","326801,312442,317284,308989",Prime Projects Inc,196254.9305291713,2025-02-15 13:17:22.872395,Central
