tender_id,department,estimated_cost,participating_bidders,bid_amounts,winning_bidder,winning_bid,tender_date,location,winning_bidder_normalized,bidders_normalized,bid_deviation,bid_deviation_zscore,bid_above_estimate,win_margin,bid_variance,bid_coefficient_variation,complementary_bid_score,dept_hhi,temporal_anomaly_score,bidder_set_repetition,iso_forest_score,lof_score,statistical_score,anomaly_score,is_anomaly,bid_gap_anomaly,price_anomaly_score
T00011,Water Supply,141993,"Prime Engineering PVT LTD,United Projects Corp,Best Projects PVT LTD,Global Solutions PVT LTD","141993,141993,141993,141993,141993",Global Solutions PVT LTD,113807.7664456439,2024-06-11 15:29:58.932842,West,global solutions,"['prime engineering', 'united projects', 'best projects', 'global solutions']",-0.1984973453223476,-0.43461136206004375,0,14199.300000000001,0.0,0.0,0.0,0.056640625,0.8638926096359366,0.5,0.21560215181035505,0.3540803076626654,0.04829015134000486,0.22224150624107614,False,1.0,0.1607147413492118
T00012,Water Supply,83121,"Prime Constructions LTD,Best Projects Ltd,Global Services Ltd,Royal Solutions Inc,Global Solutions PVT LTD,Global Constructions Inc,Crown Engineering Ltd","83121,83121,83121,83121,83121",Royal Solutions Inc,73059.44512815872,2024-04-28 15:29:58.932842,Northeast,royal solutions,"['prime constructions', 'best projects', 'global services', 'royal solutions', 'global solutions', 'global constructions', 'crown engineering']",-0.1210470864383402,0.11195269107562181,0,8312.1,0.0,0.0,0.0,0.056640625,0.7671073621771405,0.5,0.18336092188788655,0.006883528969946909,0.012439187897291313,0.07886340086895888,False,1.0,0.05149661321561788
T00013,Transport,5226899,"Prime Engineering PVT LTD,Best Projects Corp,Tech Solutions PVT LTD","5318692,4923485,5323709",Best Projects Corp,4923485.460915781,2024-09-14 15:29:58.932842,West,best projects,"['prime engineering', 'best projects', 'tech solutions']",-0.058048479430006086,0.5565318891896517,0,522689.9,35154777034.888885,0.036135958862584555,0.038115507401706474,0.07317073170731707,1.0,0.5,0.3951363194899449,0.10485505209338764,0.08658736533139165,0.21640063736151152,False,0.02322969241809858,0.18110659213871813
T00014,Health,25362,"Global Projects PVT LTD,Global Infrastructure PVT LTD","34084,22864",Global Infrastructure PVT LTD,22864.78484245892,2025-06-20 15:29:58.932842,Northwest,global infrastructure,"['global projects', 'global infrastructure']",-0.09846286403048178,0.271328841833786,0,2536.2000000000003,31472100.0,0.1970218444897099,0.0,0.05903319224771664,0.8050239874851736,0.6666666666666667,1.0,0.5761295340445287,0.09582159725587953,0.6256007362295549,False,1.0,0.10513831428278048
T00015,PWD,148690,"Crown Constructions Ltd,Best Projects Inc,Global Constructions Inc,Elite Services Inc,United Projects Corp,Crown Solutions Corp","134493,178563,158794,133741,164764,151605",Elite Services Inc,133741.86492768227,2024-06-12 15:29:58.932842,Northeast,elite services,"['crown constructions', 'best projects', 'global constructions', 'elite services', 'united projects', 'crown solutions']",-0.10053221516119262,0.25672549566478137,0,14869.0,256363276.0,0.10419984609180612,0.039342328661877125,0.05197378448407254,0.7620430195936976,0.5,0.0634611347119061,0.0,0.07637244665842567,0.044477565549368867,False,0.3084771126424758,0.10866148846764748
T00016,Health,2137892,"Best Projects Ltd,Elite Services Inc,Crown Services Corp,Crown Constructions Ltd,Global Solutions Corp","1857830,2002282,1976640,1595388,2268331",Crown Constructions Ltd,1595388.5430048583,2025-07-09 15:29:58.932842,Northwest,crown constructions,"['best projects', 'elite services', 'crown services', 'crown constructions', 'global solutions']",-0.25375625007958386,-0.82457172360235,0,213789.2,47706415552.159996,0.11258112290748813,0.05400010369231822,0.05903319224771664,0.6787246449815806,0.5,0.16541896871403444,0.10639871391439774,0.1471461559335299,0.14019367633903546,False,0.3689166237780236,0.2919986701467698
T00017,Education,739660,"Global Solutions PVT LTD,Global Infrastructure PVT LTD,Global Projects Ltd,Crown Solutions Corp,Crown Engineering Inc,Crown Engineering Ltd,Tech Infrastructure LTD","741249,737216,731438,728413,734855,752764,734429",Crown Solutions Corp,728413.1847040813,2025-06-12 15:29:58.932842,West,crown solutions,"['global solutions', 'global infrastructure', 'global projects', 'crown solutions', 'crown engineering', 'crown engineering', 'tech infrastructure']",-0.01520538530665269,0.8588742636419091,0,73966.0,54603149.551020406,0.010023665147922153,0.004698805635406608,0.04711111111111112,0.7666864893256929,0.5,0.24661433710550662,0.01836925143514974,0.10033796399909949,0.13015946384427993,False,0.1420113835232948,0.2914173110975452
T00018,PWD,8466622,"Royal Infrastructure LTD,Best Projects Ltd,Global Infrastructure Inc,Elite Infrastructure PVT LTD,Royal Services Inc,Prime Projects Inc,Global Services Inc","8767460,5768299,8421844,8569228,13856854,8147078,8992951",Best Projects Ltd,5768299.751768641,2024-10-12 15:29:58.932842,Central,best projects,"['royal infrastructure', 'best projects', 'global infrastructure', 'elite infrastructure', 'royal services', 'prime projects', 'global services']",-0.31870115947438765,-1.2828859167480897,0,846662.2000000001,5043134939633.837,0.251422167763798,0.1838678007925976,0.05197378448407254,1.0,0.5,0.7153722818241168,0.31565195209799424,0.28763953582414187,0.4685369799199802,False,0.0,0.38927932675832927
T00019,Housing,474632,"Best Projects Ltd,Global Infrastructure Corp,Best Projects Inc","375704,596514,551656",Best Projects Ltd,375704.9618369271,2025-07-31 15:29:58.932842,Central,best projects,"['best projects', 'global infrastructure', 'best projects']",-0.20842892633255428,-0.5046982184398696,0,47463.200000000004,9080933618.666666,0.18760199218922216,0.15179035662306523,0.06461538461538462,1.0,0.5,0.5296222359930066,0.0794790292908773,0.16920836276408133,0.28196864534003,False,0.2958844902683053,0.1671818224314921
T00020,PWD,1637876,"Royal Services Inc,Global Constructions Inc","1365502,1841852",Royal Services Inc,1365502.9052396049,2024-09-10 15:29:58.932842,Central,royal services,"['royal services', 'global constructions']",-0.16629652962763672,-0.20737121342821138,0,163787.6,56727330625.0,0.14851806192892958,0.0,0.05197378448407254,1.0,0.6666666666666667,1.0,0.31818239565434137,0.07254726657944445,0.5295006551238806,False,1.0,0.04734244842343678
T00021,PWD,13363622,"Prime Projects Inc,Crown Solutions LTD,United Projects PVT LTD","14259793,13267820,13196052",Best Projects Inc,13196052.074759468,2025-04-21 15:29:58.932842,Central,best projects,"['prime projects', 'crown solutions', 'united projects']",-0.01253925958400586,0.8776890294301227,0,1336362.2000000002,235633999292.66666,0.0357596595710311,0.03332689507633204,0.05197378448407254,1.0,0.5,0.13443449471036822,1.0747669576568951e-05,0.12054985481913467,0.08391502327328276,False,0.13561919664699262,0.29762922988371737
T00022,PWD,580613,"Prime Projects Inc,Global Constructions LTD,United Solutions PVT LTD,Global Infrastructure Inc,Global Solutions Corp,Global Engineering Inc,Royal Services Inc","578135,583002,577529,583535,579998,586392,577100",Royal Services Inc,577100.8474333424,2025-11-28 15:29:58.932842,West,royal services,"['prime projects', 'global constructions', 'united solutions', 'global infrastructure', 'global solutions', 'global engineering', 'royal services']",-0.006049042247861544,0.9234902900596966,0,58061.3,10819025.714285715,0.005663145868906451,0.0018648885732854314,0.05197378448407254,1.0,0.5,0.0,0.43696973326349153,0.10511937704291913,0.17921925090295182,False,0.2990065738876426,0.2834722090523433
T00023,Education,234955,"Global Projects Ltd,Elite Solutions PVT LTD,Elite Infrastructure Corp","276468,183684,245890",Elite Solutions PVT LTD,183684.78125777745,2024-11-03 15:29:58.932842,West,elite solutions,"['global projects', 'elite solutions', 'elite infrastructure']",-0.2182129290384225,-0.5737436193444476,0,23495.5,1490385686.2222223,0.1640363335741168,0.08700773331240377,0.04711111111111112,0.6628676515526212,0.5,0.37871703326203193,0.059711667941072244,0.14743064666711214,0.2092435587509661,False,0.5371603832519586,0.24033729928138592
T00024,Education,3552199,"Crown Constructions Ltd,Best Projects PVT LTD","3741712,4153417",Crown Constructions Ltd,3741712.548105935,2025-06-15 15:29:58.932842,Northwest,crown constructions,"['crown constructions', 'best projects']",0.05335105046365226,1.3426748853967063,1,355219.9,42375251756.25,0.05214670969910688,0.0,0.04711111111111112,0.6787246449815806,0.5,0.5546214115228556,0.4141657478717898,0.1665683349437808,0.40844866010021386,False,1.0,0.5038029597262208
T00025,Transport,78193,"Royal Infrastructure LTD,Global Engineering Inc","60044,82210",Royal Infrastructure LTD,60044.67129947704,2025-11-30 15:29:58.932842,North,royal infrastructure,"['royal infrastructure', 'global engineering']",-0.2320965904943276,-0.6717201837490607,0,7819.3,122832889.0,0.1558198714974623,0.0,0.07317073170731707,0.8850014890405382,0.5,0.49736257799104644,0.07163134313492649,0.12657553313793862,0.2556598845781275,False,1.0,0.18053648562511782
T00026,Education,840738,"Best Services Inc,Global Constructions Inc,Best Services Ltd,Tech Infrastructure LTD","818764,814018,804316,805815",Best Services Ltd,804316.3552129737,2025-08-04 15:29:58.932842,South,best services,"['best services', 'global constructions', 'best services', 'tech infrastructure']",-0.04332104030866493,0.6604629661731931,0,84073.8,35163177.1875,0.007314232279168766,0.003376101501547071,0.04711111111111112,1.0,0.5,0.2535097551025536,0.48034716381800985,0.07694821861281563,0.2887624640305288,False,0.4299670799543732,0.17563740125775262
T00027,Energy,649925,"Elite Infrastructure PVT LTD,Elite Infrastructure Corp,Tech Projects LTD,Elite Solutions PVT LTD,United Solutions PVT LTD,Crown Constructions Ltd","509528,752768,536978,559263,518412,758128",Elite Infrastructure PVT LTD,509528.60437868367,2024-08-12 15:29:58.932842,Northwest,elite infrastructure,"['elite infrastructure', 'elite infrastructure', 'tech projects', 'elite solutions', 'united solutions', 'crown constructions']",-0.21601938011511534,-0.5582638132398655,0,64992.5,11435086733.472223,0.17650514413572452,0.1182190868682522,0.05463728191000919,0.847985600196124,0.5,0.1565429860452296,0.0,0.16027072291686617,0.10268487514730838,False,0.0,0.2027167685425783
T00028,Housing,3351597,"Global Projects Ltd,Prime Constructions LTD,Global Engineering Corp,Global Solutions Corp","2817665,3450811,2548392,2872207",Global Engineering Corp,2548392.421218135,2026-01-16 15:29:58.932842,Central,global engineering,"['global projects', 'prime constructions', 'global engineering', 'global solutions']",-0.23964831654338664,-0.7250124781457187,0,335159.7,108147214388.1875,0.11253497399496289,0.06707321717313192,0.06461538461538462,0.8710322240687359,0.5,0.1656227093706675,0.07666605917537198,0.14042633907222257,0.12818878922770283,False,0.31657778837061124,0.23717891129824076
T00029,PWD,1867990,"Crown Engineering Inc,Tech Solutions PVT LTD,Tech Infrastructure LTD,Crown Solutions LTD,Global Engineering Inc,Royal Solutions Inc","1780588,3227627,1903351,1409989,1855134,1540735",Crown Solutions LTD,1409989.0424346747,2024-06-30 15:29:58.932842,Northeast,crown solutions,"['crown engineering', 'tech solutions', 'tech infrastructure', 'crown solutions', 'global engineering', 'royal solutions']",-0.24518383801054894,-0.7640764799051298,0,186799.0,355210997513.3333,0.30518438349669114,0.20858332227236492,0.05197378448407254,0.7666864893256929,0.5,1.0,0.42248152876828643,0.2561532885791442,0.6119068572136863,False,0.0,0.2600059589630431
T00030,Water Supply,2165438,"Global Solutions Corp,Global Infrastructure Corp,Crown Solutions Corp,Global Solutions PVT LTD,Best Projects Ltd,Best Projects Inc,Prime Solutions Ltd,Prime Engineering PVT LTD","2228440,2137470,2203589,2204756,2201372,2154191,2123468,2202537",Best Projects Inc,2123468.0537913213,2024-09-28 15:29:58.932842,Northeast,best projects,"['global solutions', 'global infrastructure', 'crown solutions', 'global solutions', 'best projects', 'best projects', 'prime solutions', 'prime engineering']",-0.019381735338845376,0.8294018921637571,0,216543.80000000002,1264986162.359375,0.016300185425544206,0.0071532145701464515,0.056640625,1.0,0.5,0.0,0.08127205203104902,0.09997356579453655,0.05343860965950129,False,0.0,0.31058466767872056
T00031,PWD,1016849,"Global Engineering Corp,Prime Solutions Ltd,Global Solutions Corp,Elite Services Inc","1002145,858430,751066,929977",Global Solutions Corp,751066.701084869,2024-12-12 15:29:58.932842,North,global solutions,"['global engineering', 'prime solutions', 'global solutions', 'elite services']",-0.26137833534293786,-0.8783605407723932,0,101684.90000000001,8597377082.25,0.10472280415535375,0.026826570403662434,0.05197378448407254,0.8638926096359366,0.5,0.08347468996097608,0.08059691585180438,0.14144540716104909,0.09696014832278424,False,0.708347882541823,0.2457098109294787
T00032,Transport,1806607,"Global Infrastructure PVT LTD,Crown Constructions Ltd,Tech Services LTD,Best Services Inc,United Constructions Inc","1827130,1838125,1820772,1811669,1777497",United Constructions Inc,1777497.249355269,2025-05-30 15:29:58.932842,Northeast,united constructions,"['global infrastructure', 'crown constructions', 'tech services', 'best services', 'united constructions']",-0.016112940249169354,0.8524696768145351,0,180660.7,426556325.84000003,0.011378953638185483,0.0062387600150459925,0.07317073170731707,0.8997384110705579,0.5,0.35516534114092024,0.35000543482895685,0.10059142419713661,0.2897158946957871,False,0.25454964765129606,0.3443969147976613
T00033,Transport,545619,"Best Services Ltd,Prime Projects Inc,Global Infrastructure PVT LTD,Crown Engineering Inc,Prime Engineering PVT LTD,Global Engineering Corp,United Projects PVT LTD,Elite Infrastructure Corp","434122,677582,673630,414215,452304,604818,604667,604819",Crown Engineering Inc,414215.7843928409,2024-08-03 15:29:58.932842,North,crown engineering,"['best services', 'prime projects', 'global infrastructure', 'crown engineering', 'prime engineering', 'global engineering', 'united projects', 'elite infrastructure']",-0.24083328404465218,-0.7333747567185469,0,54561.9,10177856542.734375,0.1807108229686829,0.10389419222880937,0.07317073170731707,0.5188029035191078,0.5,0.8636462350799781,0.20413763596754275,0.17635442247900265,0.46099527224038184,False,0.0,0.20124073178488375
T00034,Housing,161733522,"Elite Services Ltd,Global Engineering Inc","195732788,184237982",Global Engineering Inc,184237982.5239236,2025-03-12 15:29:58.932842,Northwest,global engineering,"['elite services', 'global engineering']",0.13914530670966038,1.9481222667902984,1,16173352.200000001,33032641244409.0,0.030251816475251506,0.0,0.06461538461538462,0.8710322240687359,0.5,0.4562353097884704,0.2566568829716091,0.22654196846845034,0.32895952507256393,False,1.0,0.6390535906225147
T00035,Health,311594,"Elite Services Ltd,Global Infrastructure PVT LTD","311118,313817",Elite Services Ltd,311118.57192106184,2026-01-31 15:29:58.932842,Northeast,elite services,"['elite services', 'global infrastructure']",-0.0015257934329228392,0.9554107153914767,0,31159.4,1821150.25,0.0043188491603126725,0.0,0.05903319224771664,0.7620430195936976,0.5,0.11706882100249061,0.20453735649753266,0.1075963625413794,0.1453146938104775,False,1.0,0.3983981475864984
T00036,Transport,1560968,"Global Constructions Inc,Elite Services Inc,Best Projects Corp","1436773,1586207,1305625",Best Projects Corp,1305625.3049795998,2025-04-24 15:29:58.932842,Northeast,best projects,"['global constructions', 'elite services', 'best projects']",-0.1635797114485372,-0.18819871256123352,0,156096.80000000002,13139619664.888891,0.07944465715706608,0.0016141144927981092,0.07317073170731707,1.0,0.5,0.4538052376657388,0.07908524078448313,0.04793055861231402,0.22118456899394315,False,0.9825964604002695,0.046355431381524495
T00037,PWD,302591,"Royal Solutions Inc,United Projects Corp,Global Projects Ltd,Global Constructions Inc,Tech Solutions PVT LTD,Elite Services Inc,Prime Constructions LTD","302591,302591,302591,302591,302591",United Projects Corp,234676.43599942463,2025-04-30 15:29:58.932842,South,united projects,"['royal solutions', 'united projects', 'global projects', 'global constructions', 'tech solutions', 'elite services', 'prime constructions']",-0.2244434368523035,-0.6177121180030287,0,30259.100000000002,0.0,0.0,0.0,0.05197378448407254,0.9308354915638678,0.5,0.3336027877867754,0.34270002566589325,0.0686346797781143,0.27054479404230136,False,1.0,0.23921163508277418
T00038,Housing,970410,"Global Services Inc,Crown Projects Corp,Crown Engineering Ltd,Best Projects PVT LTD,Elite Services Ltd,Elite Infrastructure Corp,Elite Infrastructure PVT LTD,Prime Solutions Ltd","887864,694986,831602,1352863,907659,910641,1034084,702941",Crown Projects Corp,694986.3400640181,2025-03-30 15:29:58.932842,North,crown projects,"['global services', 'crown projects', 'crown engineering', 'best projects', 'elite services', 'elite infrastructure', 'elite infrastructure', 'prime solutions']",-0.28382195148028344,-1.036744437479827,0,97041.0,38380474295.5,0.21403139003532068,0.0941357354508342,0.06461538461538462,0.5791347155164325,0.5,0.6240274585969253,0.23210325361375073,0.21791620154869906,0.3853261725907577,False,0.005095727719717891,0.3218243821303571
T00039,Water Supply,2064576,"Royal Solutions Inc,Tech Solutions PVT LTD,Best Services Inc,Elite Services Ltd,Elite Solutions PVT LTD","2659681,2226395,2872535,1583374,2985203",Elite Services Ltd,2492823.309468721,2024-03-28 15:29:58.932842,South,elite services,"['royal solutions', 'tech solutions', 'best services', 'elite services', 'elite solutions']",0.20742627516193204,2.4299789243024947,1,206457.6,261758484325.44003,0.20751828451543625,0.12070816996925379,0.056640625,0.7620430195936976,0.5,0.7993067081348106,0.4556741883559094,0.3794064764173961,0.5740602682828416,False,0.20866644296000436,0.6987861054376354
T00040,Energy,167083,"Royal Infrastructure LTD,Royal Solutions Inc,Prime Engineering Inc,Tech Services LTD,Global Solutions Corp,Best Projects Corp,Prime Projects Inc,Global Projects Ltd","159209,159192,161810,161322,160585,159375,160641,160582",Best Projects Inc,159192.42072310855,2025-08-07 15:29:58.932842,Northeast,best projects,"['royal infrastructure', 'royal solutions', 'prime engineering', 'tech services', 'global solutions', 'best projects', 'prime projects', 'global projects']",-0.04722550634649518,0.632909271534637,0,16708.3,857837.75,0.0057764637458437755,0.002598544544902052,0.05463728191000919,1.0,0.5,0.0,0.2303269498853926,0.07311492182298605,0.09889316291563392,False,0.0,0.27814638424812654
T00041,PWD,73312,"Elite Services Ltd,Global Solutions PVT LTD,Global Infrastructure Inc,Prime Engineering PVT LTD,Crown Solutions LTD","72342,73014,73651,73708,71978",Crown Solutions LTD,71978.61310257633,2024-04-12 15:29:58.932842,Central,crown solutions,"['elite services', 'global solutions', 'global infrastructure', 'prime engineering', 'crown solutions']",-0.01818783960911813,0.8378271769654304,0,7331.200000000001,476771.83999999997,0.00946668388139736,0.003387005471346586,0.05197378448407254,0.7666864893256929,0.5,0.08364809285281744,0.030381746652453294,0.0973764716692958,0.06843696638680957,False,0.4284327568758389,0.28495600714268965
T00042,PWD,4343857,"Crown Engineering Ltd,Global Solutions Corp,United Projects PVT LTD,Prime Engineering PVT LTD,Crown Constructions Ltd,United Solutions PVT LTD","3259553,3569626,4764455,4520282,3852488,4404924",Crown Engineering Ltd,3259553.53284683,2025-08-09 15:29:58.932842,West,crown engineering,"['crown engineering', 'global solutions', 'united projects', 'prime engineering', 'crown constructions', 'united solutions']",-0.24961767092083606,-0.7953658999960578,0,434385.7,291885139148.3333,0.13300808718001908,0.03662845635679996,0.05197378448407254,0.5188029035191078,0.5,0.6523479273983593,0.265390839008908,0.14491950340072388,0.3900558404626425,False,0.503182268392594,0.27255044842814746
T00043,Water Supply,280517,"Global Projects Ltd,Crown Engineering Ltd,Best Services Ltd,Prime Engineering PVT LTD,Best Services Inc,Royal Solutions Inc,Tech Projects LTD","385228,218999,429766,189846,272129,315543,296732",Prime Engineering PVT LTD,189846.6743516065,2025-09-06 15:29:58.932842,Northeast,prime engineering,"['global projects', 'crown engineering', 'best services', 'prime engineering', 'best services', 'royal solutions', 'tech projects']",-0.32322577828934973,-1.3148160101271607,0,28051.7,6259634721.387755,0.26269503732177213,0.05714466076349931,0.056640625,0.6760870402302376,0.5,0.3614138557734385,0.15509651411350145,0.25270390048699726,0.26202529737085023,False,0.5560565339242022,0.4637436663788477
T00044,Water Supply,196479,"Global Solutions PVT LTD,Elite Infrastructure Corp","189365,199189",Global Solutions PVT LTD,189365.5025728976,2025-01-19 15:29:58.932842,Northwest,global solutions,"['global solutions', 'elite infrastructure']",-0.036204873941247724,0.7106815295273613,0,19647.9,24127744.0,0.025283486979930717,0.0,0.056640625,0.8638926096359366,0.5,0.0,0.32016518333046784,0.08739244338523927,0.13390592501197357,False,1.0,0.22463760764144264
T00045,Education,196615,"Global Infrastructure Inc,Global Services Ltd,United Constructions Inc,Tech Infrastructure LTD,Global Infrastructure PVT LTD","183121,211378,220855,173349,234299",Tech Infrastructure LTD,173349.074013298,2025-08-05 15:29:58.932842,Northeast,tech infrastructure,"['global infrastructure', 'global services', 'united constructions', 'tech infrastructure', 'global infrastructure']",-0.11833240590342547,0.1311101066544852,0,19661.5,526033870.24000007,0.11209864827632221,0.04060378128316227,0.04711111111111112,0.6408477644810241,0.5,0.35407245730829795,0.070884688544155,0.06546859948143763,0.18280577378413282,False,0.44605221775726855,0.05743317926612341
T00046,Health,1143916,"Crown Services Corp,Royal Services Inc,Best Projects Corp,Tech Projects LTD,Global Constructions LTD,Elite Infrastructure Corp,Global Services Ltd","992460,800053,896141,1000617,1443174,1560536,1047654",Royal Services Inc,800053.3558721377,2024-07-12 15:29:58.932842,West,royal services,"['crown services', 'royal services', 'best projects', 'tech projects', 'global constructions', 'elite infrastructure', 'global services']",-0.30060130650140593,-1.1551558207533397,0,114391.6,69333506584.57143,0.23811844260602236,0.10637662039185304,0.05903319224771664,1.0,0.5,0.3168652839249107,0.13518718566225804,0.24318233441632953,0.234857212155837,False,0.03304345737246528,0.3738353664269846
T00047,Housing,271167,"Tech Infrastructure LTD,Global Engineering Inc,Prime Engineering PVT LTD,Prime Projects Inc","285733,244226,327852,258498",Global Engineering Inc,244226.78699844464,2025-09-16 15:29:58.932842,North,global engineering,"['tech infrastructure', 'global engineering', 'prime engineering', 'prime projects']",-0.09934915753596624,0.26507429630217094,0,27116.7,1015347600.6875,0.11417813334569173,0.03292428451559739,0.06461538461538462,0.8710322240687359,0.5,0.15713639052610867,0.01776653331131073,0.07848683887622647,0.08869455258845885,False,0.6496854605241034,0.09640983078938205
T00048,Water Supply,1800050,"Global Projects PVT LTD,Royal Services Inc,Global Engineering Inc,Global Infrastructure Corp,Global Services Inc","1945991,1770621,1787040,1832455,1832494",Best Projects Inc,1770621.8233019551,2025-11-15 15:29:58.932842,East,best projects,"['global projects', 'royal services', 'global engineering', 'global infrastructure', 'global services']",-0.016348532928554694,0.8508071066489946,0,180005.0,3753677388.56,0.03341145610107579,0.02306932021305759,0.056640625,1.0,0.5,0.014502542503579682,0.008260479075597788,0.11336104839904387,0.037032446777652064,False,0.02211070984574226,0.26438875563465325
